 ,Label,Area,Mean,StdDev,Mode,Min,Max,X_COM,Y_COM,Major,Minor,Angle,IntDen,Median,RawIntDen,Slice,EV no
22,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:382,0,37991,0,37991,37991,37991,777.167,399.833,1.128,1.128,0,37991,37991,37991,382,4
23,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:383,0,38204,0,38204,38204,38204,791.5,388.5,1.128,1.128,0,38204,38204,38204,383,4
24,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:384,0,37864,0,37864,37864,37864,806.5,378.5,1.128,1.128,0,37864,37864,37864,384,4
25,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:385,0,38399,0,38399,38399,38399,819.833,366.833,1.128,1.128,0,38399,38399,38399,385,4
26,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:386,0,37836,0,37836,37836,37836,831.833,357.833,1.128,1.128,0,37836,37836,37836,386,4
27,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:387,0,37691,0,37691,37691,37691,845,343.25,1.128,1.128,0,37691,37691,37691,387,4
28,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:388,0,37800,0,37800,37800,37800,859.75,331.25,1.128,1.128,0,37800,37800,37800,388,4
29,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:389,0,37566,0,37566,37566,37566,870.5,319,1.128,1.128,0,37566,37566,37566,389,4
30,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:390,0,37762,0,37762,37762,37762,881.5,304.75,1.128,1.128,0,37762,37762,37762,390,4
31,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:391,0,37796,0,37796,37796,37796,892.5,291.25,1.128,1.128,0,37796,37796,37796,391,4
32,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:392,0,37707,0,37707,37707,37707,902.75,275.5,1.128,1.128,0,37707,37707,37707,392,4
33,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:393,0,38176,0,38176,38176,38176,911.5,261,1.128,1.128,0,38176,38176,38176,393,4
34,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:394,0,37323,0,37323,37323,37323,922.5,245.75,1.128,1.128,0,37323,37323,37323,394,4
35,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:395,0,37720,0,37720,37720,37720,931.5,229,1.128,1.128,0,37720,37720,37720,395,4
36,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:396,0,37059,0,37059,37059,37059,940.25,211.25,1.128,1.128,0,37059,37059,37059,396,4
37,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:397,0,36960,0,36960,36960,36960,949.25,195.5,1.128,1.128,0,36960,36960,36960,397,4
38,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:398,0,37296,0,37296,37296,37296,957.25,173,1.128,1.128,0,37296,37296,37296,398,4
39,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:399,0,37438,0,37438,37438,37438,966.5,154.75,1.128,1.128,0,37438,37438,37438,399,4
40,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:400,0,37161,0,37161,37161,37161,974.75,134.25,1.128,1.128,0,37161,37161,37161,400,4
41,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:401,0,37509,0,37509,37509,37509,984.25,114.5,1.128,1.128,0,37509,37509,37509,401,4
42,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:402,0,36952,0,36952,36952,36952,991.75,94.25,1.128,1.128,0,36952,36952,36952,402,4
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:8,0,40127,0,40127,40127,40127,38.83325264,793.5003968,0.1207,0.1207,0,459.4233,40127,40127,8,5
2,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:9,0,40438,0,40438,40438,40438,87.50005082,798.1667048,0.1207,0.1207,0,462.984,40438,40438,9,5
3,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:10,0,39791,0,39791,39791,39791,134.4995761,803.8330027,0.1207,0.1207,0,455.5764,39791,39791,10,5
4,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:11,0,40946,0,40946,40946,40946,178.5000663,810.1665836,0.1207,0.1207,0,468.8002,40946,40946,11,5
5,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:12,0,40024,0,40024,40024,40024,221.499632,816.166523,0.1207,0.1207,0,458.244,40024,40024,12,5
6,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:13,0,39764,0,39764,39764,39764,262.833794,823.3337403,0.1207,0.1207,0,455.2672,39764,39764,13,5
7,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:14,0,40232,0,40232,40232,40232,301.3334051,830.1663816,0.1207,0.1207,0,460.6255,40232,40232,14,5
8,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:15,0,40944,0,40944,40944,40944,340.8330062,836.9999574,0.1207,0.1207,0,468.7773,40944,40944,15,5
9,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:16,0,41208,0,41208,41208,41208,378.6662689,845.1662301,0.1207,0.1207,0,471.7999,41208,41208,16,5
10,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:17,0,41391,0,41391,41391,41391,412.7500368,853.4997908,0.1207,0.1207,0,473.8951,41391,41391,17,5
11,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:18,0,41467,0,41467,41467,41467,447.5001531,862.7501646,0.1207,0.1207,0,474.7653,41467,41467,18,5
12,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:19,0,41225,0,41225,41225,41225,482.2502694,873.2500586,0.1207,0.1207,0,471.9946,41225,41225,19,5
13,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:20,0,41793,0,41793,41793,41793,512.5004312,882.7499626,0.1207,0.1207,0,478.4977,41793,41793,20,5
14,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:21,0,40914,0,40914,40914,40914,544.500108,892.5003315,0.1207,0.1207,0,468.4338,40914,40914,21,5
15,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:22,0,41642,0,41642,41642,41642,573.2502849,904.7497404,0.1207,0.1207,0,476.7689,41642,41642,22,5
16,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:23,0,41351,0,41351,41351,41351,602.7499869,916.2496243,0.1207,0.1207,0,473.4372,41351,41351,23,5
17,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:24,0,42011,0,42011,42011,42011,628.7497243,929.9999527,0.1207,0.1207,0,480.9937,42011,42011,24,5
18,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:25,0,41668,0,41668,41668,41668,656.7503761,942.4998265,0.1207,0.1207,0,477.0666,41668,41668,25,5
19,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:26,0,41195,0,41195,41195,41195,682.7501135,956.4996851,0.1207,0.1207,0,471.6511,41195,41195,26,5
20,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:27,0,41298,0,41298,41298,41298,706.7498711,969.9995487,0.1207,0.1207,0,472.8304,41298,41298,27,5
21,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:28,0,41602,0,41602,41602,41602,731.2496237,988.0003015,0.1207,0.1207,0,476.3109,41602,41602,28,5
22,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:29,0,41605,0,41605,41605,41605,753.9998612,1003.500145,0.1207,0.1207,0,476.3453,41605,41605,29,5
23,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:30,0,41911,0,41911,41911,41911,776.7500987,1021.499963,0.1207,0.1207,0,479.8487,41911,41911,30,5
24,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:31,0,41715,0,41715,41715,41715,798.5003463,1038.750256,0.1207,0.1207,0,477.6047,41715,41715,31,5
25,xslot_HCC1954_PT03_xp4_1250uLhr_z40um_mov_1_MMStack_Pos0.ome.tif:32,0,41679,0,41679,41679,41679,820.0001291,1059.750044,0.1207,0.1207,0,477.1925,41679,41679,32,5
