 ,Label,Area,Mean,StdDev,Mode,Min,Max,X_COM,Y_COM,Major,Minor,Angle,IntDen,Median,RawIntDen,Slice
16,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:49,0,47409,0,47409,47409,47409,490.667,631,1.128,1.128,0,47409,47409,47409,49
17,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:50,0,48032,0,48032,48032,48032,472.833,635.333,1.128,1.128,0,48032,48032,48032,50
18,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:51,0,47885,0,47885,47885,47885,455,637,1.128,1.128,0,47885,47885,47885,51
19,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:52,0,47048,0,47048,47048,47048,438.167,638.667,1.128,1.128,0,47048,47048,47048,52
20,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:53,0,47092,0,47092,47092,47092,422.5,641.833,1.128,1.128,0,47092,47092,47092,53
21,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:54,0,46314,0,46314,46314,46314,405,644,1.128,1.128,0,46314,46314,46314,54
22,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:55,0,46603,0,46603,46603,46603,392.333,646.5,1.128,1.128,0,46603,46603,46603,55
23,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:56,0,46486,0,46486,46486,46486,378.833,648.833,1.128,1.128,0,46486,46486,46486,56
24,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:57,0,46667,0,46667,46667,46667,365.833,652.333,1.128,1.128,0,46667,46667,46667,57
25,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:58,0,45950,0,45950,45950,45950,355.333,654.5,1.128,1.128,0,45950,45950,45950,58
26,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:59,0,45507,0,45507,45507,45507,341.833,657.833,1.128,1.128,0,45507,45507,45507,59
27,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:60,0,45813,0,45813,45813,45813,331.333,660.5,1.128,1.128,0,45813,45813,45813,60
28,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:61,0,45347,0,45347,45347,45347,320.25,662.75,1.128,1.128,0,45347,45347,45347,61
29,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:62,0,44994,0,44994,44994,44994,309.375,667.625,1.128,1.128,0,44994,44994,44994,62
30,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:63,0,45283,0,45283,45283,45283,299.375,670.75,1.128,1.128,0,45283,45283,45283,63
31,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:64,0,44761,0,44761,44761,44761,289.375,673.875,1.128,1.128,0,44761,44761,44761,64
32,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:65,0,45455,0,45455,45455,45455,280.75,677.125,1.128,1.128,0,45455,45455,45455,65
33,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:66,0,44953,0,44953,44953,44953,273.375,680.25,1.128,1.128,0,44953,44953,44953,66
34,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:67,0,45881,0,45881,45881,45881,266,685.25,1.128,1.128,0,45881,45881,45881,67
35,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:68,0,45080,0,45080,45080,45080,259.625,689.875,1.128,1.128,0,45080,45080,45080,68
36,xslot_HCC1954_02_1500uLhr_z40um_mov_2_MMStack_Pos0.ome.tif:69,0,45761,0,45761,45761,45761,250.25,695.125,1.128,1.128,0,45761,45761,45761,69
