 ,Label,Area,Mean,StdDev,Mode,Min,Max,X_COM,Y_COM,Major,Minor,Angle,IntDen,Median,RawIntDen,Slice,EV no
16,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:426,0,4916,0,4916,4916,4916,844.75,976,1.128,1.128,0,4916,4916,4916,426,
17,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:427,0,4932,0,4932,4932,4932,870.5,1003.5,1.128,1.128,0,4932,4932,4932,427,
18,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:428,0,4796,0,4796,4796,4796,894.75,1034,1.128,1.128,0,4796,4796,4796,428,
19,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:429,0,4972,0,4972,4972,4972,916,1064.25,1.128,1.128,0,4972,4972,4972,429,
20,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:430,0,4901,0,4901,4901,4901,935.5,1098.75,1.128,1.128,0,4901,4901,4901,430,
21,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:431,0,4976,0,4976,4976,4976,953.5,1137.25,1.128,1.128,0,4976,4976,4976,431,
22,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:432,0,4861,0,4861,4861,4861,972,1179.75,1.128,1.128,0,4861,4861,4861,432,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:119,0,4886,0,4886,4886,4886,81.833,328.5,1.128,1.128,0,4886,4886,4886,119,3
2,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:120,0,5063,0,5063,5063,5063,170.5,298.833,1.128,1.128,0,5063,5063,5063,120,
3,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:121,0,4850,0,4850,4850,4850,253.75,267,1.128,1.128,0,4850,4850,4850,121,
4,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:122,0,4971,0,4971,4971,4971,328,231.5,1.128,1.128,0,4971,4971,4971,122,
5,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:123,0,4925,0,4925,4925,4925,397.5,194.75,1.128,1.128,0,4925,4925,4925,123,
6,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:124,0,5079,0,5079,5079,5079,461.25,153.75,1.128,1.128,0,5079,5079,5079,124,
7,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:125,0,5030,0,5030,5030,5030,520.25,110.25,1.128,1.128,0,5030,5030,5030,125,
8,xslot_BT747_01_1500uLhr_z40um_mov_flush_adj_9_MMStack_Pos0.ome.tif:126,0,5042,0,5042,5042,5042,573.167,64.167,1.128,1.128,0,5042,5042,5042,126,
